显示序号,型号,规格,标准,电压等级,计量单位,报价数量,颜色,报价产品,外购,红本价,报价
138,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
139,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
140,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
141,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
142,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
143,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
144,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
145,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
146,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
147,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
148,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
149,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
150,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
151,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
152,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
153,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
154,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
155,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
156,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
157,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
158,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
159,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
160,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
161,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
162,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
163,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
164,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
165,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
166,ZC-YJV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*300,N,1077457,1077457
167,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
168,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
169,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
170,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
171,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
172,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
173,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
174,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
175,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
176,ZC-YJLV22,3*300,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7kV 3*300,N,186757,186757
177,ZC-YJLV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*240,N,155800,155800
178,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
179,ZC-YJLV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*70,N,84215,84215
180,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
181,ZC-YJV22,3*150,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*150,N,555217,555217
182,ZC-YJV22,3*240,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*240,N,868589,868589
183,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
184,ZC-YJLV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJLV22-8.7KV 3*120,N,106827,106827
185,ZC-YJV22,3*70,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*70,N,286367,286367
186,ZC-YJV22,3*120,G|国标,8.7/10kV,Km,0,黑色,ZC-YJV22-8.7KV 3*120,N,461414,461414
